Compressor_field__params, name, absolute_error, relative_error, mse, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio
BLOSC_x__, BLOSC_, 0, 0, 0, inf, 109.544, 763.645, 1.78261
BLOSC_y__, BLOSC_, 0, 0, 0, inf, 96.9735, 1028.06, 1.74589
BLOSC_z__, BLOSC_, 0, 0, 0, inf, 108.608, 1365.01, 1.67714
BLOSC_vx__, BLOSC_, 0, 0, 0, inf, 105.137, 1246.51, 1.16481
BLOSC_vy__, BLOSC_, 0, 0, 0, inf, 83.1701, 1259.16, 1.16855
BLOSC_vz__, BLOSC_, 0, 0, 0, inf, 85.2294, 1257.95, 1.17038
SZ_x__abs0.003, sz_velNoComp, 0.003, 0.003, 2.97343e-06, 103.432, 67.4138, 118.265, 5.06937
SZ_y__abs0.003, sz_velNoComp, 0.00299999, 0.00299999, 2.9973e-06, 103.397, 84.9825, 98.2568, 4.79717
SZ_z__abs0.003, sz_velNoComp, 0.00299999, 0.00299999, 2.98577e-06, 103.414, 79.6885, 108.379, 4.42456
None_vx__None, sz_velNoComp, 0, 0, 0, inf, 4.91872e+06, 5.01516e+06, 1
None_vy__None, sz_velNoComp, 0, 0, 0, inf, 7.41017e+06, 8.08137e+06, 1
None_vz__None, sz_velNoComp, 0, 0, 0, inf, 3.38257e+06, 4.40519e+06, 1
None_x__None, sz_PosNoComp_vel_.1, 0, 0, 0, inf, 4.8207e+06, 3.40912e+06, 1
None_y__None, sz_PosNoComp_vel_.1, 0, 0, 0, inf, 3.76955e+06, 7.83411e+06, 1
None_z__None, sz_PosNoComp_vel_.1, 0, 0, 0, inf, 5.0918e+06, 5.62974e+06, 1
SZ_vx__pw_rel0.1, sz_PosNoComp_vel_.1, 675.892, 0.0997309, 862.901, 46.6337, 67.1871, 216.47, 8.09062
SZ_vy__pw_rel0.1, sz_PosNoComp_vel_.1, 625.043, 0.0997309, 954.838, 46.3764, 73.5002, 227.42, 8.20714
SZ_vz__pw_rel0.1, sz_PosNoComp_vel_.1, 635.501, 0.0997309, 1078.91, 45.0704, 65.0483, 193.586, 8.24463
None_x__None, sz_PosNoComp_vel_.01, 0, 0, 0, inf, 6.53693e+06, 7.85257e+06, 1
None_y__None, sz_PosNoComp_vel_.01, 0, 0, 0, inf, 3.43159e+06, 2.52605e+06, 1
None_z__None, sz_PosNoComp_vel_.01, 0, 0, 0, inf, 7.66734e+06, 8.21933e+06, 1
SZ_vx__pw_rel0.01, sz_PosNoComp_vel_.01, 62.2114, 0.00999995, 9.15978, 66.3744, 69.8126, 206.583, 4.43793
SZ_vy__pw_rel0.01, sz_PosNoComp_vel_.01, 54.7437, 0.00999995, 10.1313, 66.119, 67.6741, 183.913, 4.47773
SZ_vz__pw_rel0.01, sz_PosNoComp_vel_.01, 58.9814, 0.00999994, 11.4475, 64.8132, 75.4121, 205.836, 4.48709
None_x__None, sz_PosNoComp_vel_.001, 0, 0, 0, inf, 5.38397e+06, 8.66002e+06, 1
None_y__None, sz_PosNoComp_vel_.001, 0, 0, 0, inf, 3.74964e+06, 4.99905e+06, 1
None_z__None, sz_PosNoComp_vel_.001, 0, 0, 0, inf, 3.02582e+06, 2.6572e+06, 1
SZ_vx__pw_rel0.001, sz_PosNoComp_vel_.001, 6.14014, 0.000999984, 0.0923317, 86.3398, 61.7966, 181.676, 3.03112
SZ_vy__pw_rel0.001, sz_PosNoComp_vel_.001, 5.51709, 0.000999979, 0.10214, 86.0837, 63.1244, 185.198, 3.0496
SZ_vz__pw_rel0.001, sz_PosNoComp_vel_.001, 5.93701, 0.000999974, 0.11543, 84.7771, 62.6501, 174.268, 3.05403
SZ_x__abs0.003, sz_vel_.1, 0.003, 0.003, 2.97343e-06, 103.432, 75.5919, 113.879, 5.06937
SZ_y__abs0.003, sz_vel_.1, 0.00299999, 0.00299999, 2.9973e-06, 103.397, 86.8825, 100.349, 4.79717
SZ_z__abs0.003, sz_vel_.1, 0.00299999, 0.00299999, 2.98577e-06, 103.414, 84.4497, 93.8143, 4.42456
SZ_vx__pw_rel0.1, sz_vel_.1, 675.892, 0.0997309, 862.901, 46.6337, 65.1816, 191.373, 8.09062
SZ_vy__pw_rel0.1, sz_vel_.1, 625.043, 0.0997309, 954.838, 46.3764, 67.2339, 211.165, 8.20714
SZ_vz__pw_rel0.1, sz_vel_.1, 635.501, 0.0997309, 1078.91, 45.0704, 67.739, 212.989, 8.24463
SZ_x__abs0.003, sz_vel_.01, 0.003, 0.003, 2.97343e-06, 103.432, 83.3831, 110.826, 5.06937
SZ_y__abs0.003, sz_vel_.01, 0.00299999, 0.00299999, 2.9973e-06, 103.397, 86.1394, 107.276, 4.79717
SZ_z__abs0.003, sz_vel_.01, 0.00299999, 0.00299999, 2.98577e-06, 103.414, 83.8817, 97.7086, 4.42456
SZ_vx__pw_rel0.01, sz_vel_.01, 62.2114, 0.00999995, 9.15978, 66.3744, 67.2434, 205.558, 4.43793
SZ_vy__pw_rel0.01, sz_vel_.01, 54.7437, 0.00999995, 10.1313, 66.119, 71.2172, 207.743, 4.47772
SZ_vz__pw_rel0.01, sz_vel_.01, 58.9814, 0.00999994, 11.4475, 64.8132, 66.1282, 169.546, 4.48709
SZ_x__abs0.003, sz_vel_.001, 0.003, 0.003, 2.97343e-06, 103.432, 81.6898, 119.401, 5.06937
SZ_y__abs0.003, sz_vel_.001, 0.00299999, 0.00299999, 2.9973e-06, 103.397, 85.5541, 99.3847, 4.79717
SZ_z__abs0.003, sz_vel_.001, 0.00299999, 0.00299999, 2.98577e-06, 103.414, 82.018, 101.874, 4.42456
SZ_vx__pw_rel0.001, sz_vel_.001, 6.14014, 0.000999984, 0.0923317, 86.3398, 65.4246, 186.934, 3.03113
SZ_vy__pw_rel0.001, sz_vel_.001, 5.51709, 0.000999979, 0.10214, 86.0837, 62.0099, 178.191, 3.0496
SZ_vz__pw_rel0.001, sz_vel_.001, 5.93701, 0.000999974, 0.11543, 84.7771, 72.7039, 184.22, 3.05403
