Compressor_field__params, name, absolute_error, relative_error, mse, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio
BLOSC_x__, BLOSC_, 0, 0, 0, inf, 99.6431, 738.9, 1.77475
BLOSC_y__, BLOSC_, 0, 0, 0, inf, 82.859, 641.438, 1.76565
BLOSC_z__, BLOSC_, 0, 0, 0, inf, 96.2496, 696.18, 1.71701
BLOSC_vx__, BLOSC_, 0, 0, 0, inf, 66.5528, 1121.18, 1.14304
BLOSC_vy__, BLOSC_, 0, 0, 0, inf, 69.2285, 1006.23, 1.14608
BLOSC_vz__, BLOSC_, 0, 0, 0, inf, 70.154, 798.772, 1.14751
SZ_x__abs0.003, sz_velNoComp, 0.00299999, 0.00299999, 2.98445e-06, 103.416, 85.2669, 118.855, 4.96957
SZ_y__abs0.003, sz_velNoComp, 0.00299999, 0.00299999, 2.99706e-06, 103.398, 90.4981, 114.402, 4.81816
SZ_z__abs0.003, sz_velNoComp, 0.00299999, 0.00299999, 2.98794e-06, 103.411, 88.2137, 112.271, 4.62756
None_vx__None, sz_velNoComp, 0, 0, 0, inf, 4.07829e+06, 4.33299e+06, 1
None_vy__None, sz_velNoComp, 0, 0, 0, inf, 7.27965e+06, 7.29125e+06, 1
None_vz__None, sz_velNoComp, 0, 0, 0, inf, 6.23146e+06, 6.8929e+06, 1
None_x__None, sz_PosNoComp_vel_.1, 0, 0, 0, inf, 3.41971e+06, 6.6838e+06, 1
None_y__None, sz_PosNoComp_vel_.1, 0, 0, 0, inf, 3.90157e+06, 4.39585e+06, 1
None_z__None, sz_PosNoComp_vel_.1, 0, 0, 0, inf, 6.15771e+06, 6.6642e+06, 1
SZ_vx__pw_rel0.1, sz_PosNoComp_vel_.1, 351.98, 0.0997309, 259.293, 47.7156, 64.4518, 211.596, 7.24215
SZ_vy__pw_rel0.1, sz_PosNoComp_vel_.1, 373.007, 0.0997309, 278.576, 47.6594, 71.5529, 228.91, 7.34261
SZ_vz__pw_rel0.1, sz_PosNoComp_vel_.1, 376.215, 0.0997309, 300.764, 47.142, 65.3236, 211.635, 7.4012
None_x__None, sz_PosNoComp_vel_.01, 0, 0, 0, inf, 3.25609e+06, 5.84096e+06, 1
None_y__None, sz_PosNoComp_vel_.01, 0, 0, 0, inf, 3.41275e+06, 4.21844e+06, 1
None_z__None, sz_PosNoComp_vel_.01, 0, 0, 0, inf, 2.79726e+06, 2.92218e+06, 1
SZ_vx__pw_rel0.01, sz_PosNoComp_vel_.01, 33.5686, 0.00999993, 2.75005, 67.4601, 63.0509, 208.723, 4.15515
SZ_vy__pw_rel0.01, sz_PosNoComp_vel_.01, 37.2734, 0.00999996, 2.95465, 67.4037, 68.6252, 192.914, 4.18855
SZ_vz__pw_rel0.01, sz_PosNoComp_vel_.01, 37.1919, 0.00999994, 3.19011, 66.8862, 66.1419, 210.989, 4.20741
None_x__None, sz_PosNoComp_vel_.001, 0, 0, 0, inf, 5.86204e+06, 5.22133e+06, 1
None_y__None, sz_PosNoComp_vel_.001, 0, 0, 0, inf, 5.75787e+06, 6.89511e+06, 1
None_z__None, sz_PosNoComp_vel_.001, 0, 0, 0, inf, 3.68015e+06, 4.09231e+06, 1
SZ_vx__pw_rel0.001, sz_PosNoComp_vel_.001, 3.40308, 0.00099997, 0.0277054, 87.4279, 66.8553, 178.493, 2.89444
