Compressor_field__params, name, absolute_error, relative_error, mse, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio
BLOSC_x__, BLOSC_, 0, 0, 0, inf, 110.313, 780.948, 1.77128
BLOSC_y__, BLOSC_, 0, 0, 0, inf, 82.2488, 602.599, 1.71463
BLOSC_z__, BLOSC_, 0, 0, 0, inf, 90.6145, 595.646, 1.62796
BLOSC_vx__, BLOSC_, 0, 0, 0, inf, 76.7616, 726.612, 1.19424
BLOSC_vy__, BLOSC_, 0, 0, 0, inf, 75.508, 723.474, 1.19703
BLOSC_vz__, BLOSC_, 0, 0, 0, inf, 75.913, 709.257, 1.19606
SZ_x__abs0.003, sz_velNoComp, 0.00299999, 0.00299999, 2.99382e-06, 103.403, 79.185, 103.605, 4.99383
SZ_y__abs0.003, sz_velNoComp, 0.00299999, 0.00299999, 2.99728e-06, 103.398, 83.6829, 104.832, 4.66977
SZ_z__abs0.003, sz_velNoComp, 0.00299999, 0.00299999, 2.98475e-06, 103.416, 77.3772, 105.213, 4.17035
None_vx__None, sz_velNoComp, 0, 0, 0, inf, 3.91969e+06, 3.90804e+06, 1
None_vy__None, sz_velNoComp, 0, 0, 0, inf, 4.62777e+06, 4.80762e+06, 1
None_vz__None, sz_velNoComp, 0, 0, 0, inf, 4.32167e+06, 4.19779e+06, 1
None_x__None, sz_PosNoComp_vel_.1, 0, 0, 0, inf, 3.64819e+06, 4.84252e+06, 1
None_y__None, sz_PosNoComp_vel_.1, 0, 0, 0, inf, 4.29791e+06, 4.46792e+06, 1
None_z__None, sz_PosNoComp_vel_.1, 0, 0, 0, inf, 4.3893e+06, 7.3806e+06, 1
SZ_vx__pw_rel0.1, sz_PosNoComp_vel_.1, 683.542, 0.0997309, 1550.27, 45.6323, 69.7432, 228.943, 9.26656
SZ_vy__pw_rel0.1, sz_PosNoComp_vel_.1, 673.573, 0.0997309, 1743.52, 44.9348, 65.3639, 230.484, 9.37639
SZ_vz__pw_rel0.1, sz_PosNoComp_vel_.1, 715.859, 0.0997309, 2008.73, 43.821, 60.7283, 227.298, 9.24224
None_x__None, sz_PosNoComp_vel_.01, 0, 0, 0, inf, 3.96633e+06, 7.01412e+06, 1
None_y__None, sz_PosNoComp_vel_.01, 0, 0, 0, inf, 3.6146e+06, 6.99693e+06, 1
None_z__None, sz_PosNoComp_vel_.01, 0, 0, 0, inf, 3.3126e+06, 3.76664e+06, 1
SZ_vx__pw_rel0.01, sz_PosNoComp_vel_.01, 69.1191, 0.00999994, 16.4602, 65.3721, 75.1695, 206.341, 4.79952
SZ_vy__pw_rel0.01, sz_PosNoComp_vel_.01, 62.5459, 0.00999995, 18.518, 64.6731, 68.9337, 206.737, 4.84218
SZ_vz__pw_rel0.01, sz_PosNoComp_vel_.01, 74.2612, 0.00999994, 21.334, 63.5595, 77.7159, 208.34, 4.79221
None_x__None, sz_PosNoComp_vel_.001, 0, 0, 0, inf, 3.4017e+06, 6.72837e+06, 1
None_y__None, sz_PosNoComp_vel_.001, 0, 0, 0, inf, 7.70363e+06, 1.0004e+07, 1
None_z__None, sz_PosNoComp_vel_.001, 0, 0, 0, inf, 3.89328e+06, 5.10201e+06, 1
SZ_vx__pw_rel0.001, sz_PosNoComp_vel_.001, 6.90625, 0.000999959, 0.166076, 85.3333, 68.7254, 187.022, 3.19794
SZ_vy__pw_rel0.001, sz_PosNoComp_vel_.001, 6.36963, 0.000999963, 0.186812, 84.635, 73.6407, 191.317, 3.21719
SZ_vz__pw_rel0.001, sz_PosNoComp_vel_.001, 6.87549, 0.000999978, 0.215216, 83.5215, 67.5698, 191.185, 3.19411
SZ_x__abs0.003, sz_vel_.1, 0.00299999, 0.00299999, 2.99382e-06, 103.403, 75.5536, 110.317, 4.99383
SZ_y__abs0.003, sz_vel_.1, 0.00299999, 0.00299999, 2.99728e-06, 103.398, 91.4403, 109.658, 4.66977
SZ_z__abs0.003, sz_vel_.1, 0.00299999, 0.00299999, 2.98475e-06, 103.416, 91.615, 108.349, 4.17035
SZ_vx__pw_rel0.1, sz_vel_.1, 683.542, 0.0997309, 1550.27, 45.6323, 76.5981, 230.023, 9.26656
SZ_vy__pw_rel0.1, sz_vel_.1, 673.573, 0.0997309, 1743.52, 44.9348, 65.5044, 228.752, 9.37639
SZ_vz__pw_rel0.1, sz_vel_.1, 715.859, 0.0997309, 2008.73, 43.821, 76.9761, 229.693, 9.24224
SZ_x__abs0.003, sz_vel_.01, 0.00299999, 0.00299999, 2.99382e-06, 103.403, 68.5295, 118.222, 4.99383
SZ_y__abs0.003, sz_vel_.01, 0.00299999, 0.00299999, 2.99728e-06, 103.398, 85.7467, 100.66, 4.66977
SZ_z__abs0.003, sz_vel_.01, 0.00299999, 0.00299999, 2.98475e-06, 103.416, 87.0157, 103.373, 4.17035
SZ_vx__pw_rel0.01, sz_vel_.01, 69.1191, 0.00999994, 16.4602, 65.3721, 76.408, 208.46, 4.79951
SZ_vy__pw_rel0.01, sz_vel_.01, 62.5459, 0.00999995, 18.518, 64.6731, 73.6353, 208.283, 4.84218
SZ_vz__pw_rel0.01, sz_vel_.01, 74.2612, 0.00999994, 21.334, 63.5595, 70.4132, 208.805, 4.79221
SZ_x__abs0.003, sz_vel_.001, 0.00299999, 0.00299999, 2.99382e-06, 103.403, 84.4099, 119.779, 4.99383
