Compressor_field__params, name, absolute_error, relative_error, mse, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio
BLOSC_x__, BLOSC_, 0, 0, 0, inf, 192.719, 1186.74, 1.77377
BLOSC_y__, BLOSC_, 0, 0, 0, inf, 169.793, 1195.18, 1.75273
BLOSC_z__, BLOSC_, 0, 0, 0, inf, 104.743, 1414.78, 1.6957
BLOSC_vx__, BLOSC_, 0, 0, 0, inf, 160.038, 1227.41, 1.15318
BLOSC_vy__, BLOSC_, 0, 0, 0, inf, 97.4083, 1235.23, 1.15654
BLOSC_vz__, BLOSC_, 0, 0, 0, inf, 81.053, 1232.81, 1.15809
SZ_x__abs0.003, sz_velNoComp, 0.00299999, 0.00299999, 2.98523e-06, 103.415, 70.5874, 108.982, 5.03247
SZ_y__abs0.003, sz_velNoComp, 0.00299999, 0.00299999, 2.9973e-06, 103.398, 84.7526, 113.536, 4.80686
SZ_z__abs0.003, sz_velNoComp, 0.00299999, 0.00299999, 2.98676e-06, 103.413, 86.1025, 107.553, 4.5447
None_vx__None, sz_velNoComp, 0, 0, 0, inf, 6.60052e+06, 7.84231e+06, 1
None_vy__None, sz_velNoComp, 0, 0, 0, inf, 3.50013e+06, 4.13812e+06, 1
None_vz__None, sz_velNoComp, 0, 0, 0, inf, 3.16103e+06, 5.39176e+06, 1
None_x__None, sz_PosNoComp_vel_.1, 0, 0, 0, inf, 5.01897e+06, 5.6461e+06, 1
None_y__None, sz_PosNoComp_vel_.1, 0, 0, 0, inf, 6.5713e+06, 7.17418e+06, 1
None_z__None, sz_PosNoComp_vel_.1, 0, 0, 0, inf, 6.04544e+06, 6.5326e+06, 1
SZ_vx__pw_rel0.1, sz_PosNoComp_vel_.1, 462.429, 0.0997309, 569.392, 46.3868, 69.6435, 230.61, 7.69251
SZ_vy__pw_rel0.1, sz_PosNoComp_vel_.1, 489.515, 0.0997309, 626.086, 46.636, 69.5356, 205.637, 7.80778
SZ_vz__pw_rel0.1, sz_PosNoComp_vel_.1, 520.487, 0.0997309, 695.672, 45.8448, 69.9386, 228.049, 7.86851
None_x__None, sz_PosNoComp_vel_.01, 0, 0, 0, inf, 4.07473e+06, 5.08153e+06, 1
None_y__None, sz_PosNoComp_vel_.01, 0, 0, 0, inf, 6.32503e+06, 7.43214e+06, 1
None_z__None, sz_PosNoComp_vel_.01, 0, 0, 0, inf, 6.58791e+06, 6.12461e+06, 1
SZ_vx__pw_rel0.01, sz_PosNoComp_vel_.01, 43.7446, 0.00999995, 6.03817, 66.1318, 67.8755, 208.947, 4.30597
SZ_vy__pw_rel0.01, sz_PosNoComp_vel_.01, 45.9102, 0.00999992, 6.64182, 66.3794, 71.3355, 207.854, 4.34435
SZ_vz__pw_rel0.01, sz_PosNoComp_vel_.01, 49.7739, 0.00999996, 7.37927, 65.5887, 75.3518, 206.391, 4.36324
None_x__None, sz_PosNoComp_vel_.001, 0, 0, 0, inf, 3.94615e+06, 7.0535e+06, 1
None_y__None, sz_PosNoComp_vel_.001, 0, 0, 0, inf, 3.13081e+06, 3.21897e+06, 1
None_z__None, sz_PosNoComp_vel_.001, 0, 0, 0, inf, 6.76568e+06, 8.734e+06, 1
SZ_vx__pw_rel0.001, sz_PosNoComp_vel_.001, 4.56494, 0.000999968, 0.060869, 86.0969, 63.9206, 180.734, 2.96804
SZ_vy__pw_rel0.001, sz_PosNoComp_vel_.001, 4.89795, 0.000999976, 0.0669482, 86.3449, 67.3558, 182.599, 2.98664
SZ_vz__pw_rel0.001, sz_PosNoComp_vel_.001, 4.94092, 0.000999981, 0.0743978, 85.5532, 68.825, 183.432, 2.99547
SZ_x__abs0.003, sz_vel_.1, 0.00299999, 0.00299999, 2.98523e-06, 103.415, 74.8109, 100.164, 5.03247
SZ_y__abs0.003, sz_vel_.1, 0.00299999, 0.00299999, 2.9973e-06, 103.398, 101.207, 118.394, 4.80686
SZ_z__abs0.003, sz_vel_.1, 0.00299999, 0.00299999, 2.98676e-06, 103.413, 85.3025, 97.5002, 4.5447
SZ_vx__pw_rel0.1, sz_vel_.1, 462.429, 0.0997309, 569.392, 46.3868, 64.7461, 221.527, 7.69251
SZ_vy__pw_rel0.1, sz_vel_.1, 489.515, 0.0997309, 626.086, 46.636, 64.8138, 193.841, 7.80778
SZ_vz__pw_rel0.1, sz_vel_.1, 520.487, 0.0997309, 695.672, 45.8448, 64.595, 202.381, 7.86851
SZ_x__abs0.003, sz_vel_.01, 0.00299999, 0.00299999, 2.98523e-06, 103.415, 69.8329, 93.9628, 5.03247
SZ_y__abs0.003, sz_vel_.01, 0.00299999, 0.00299999, 2.9973e-06, 103.398, 84.9787, 96.5046, 4.80686
