input_file_name:  /bigData/Mar31/b0168/octree-m001-499.sodproperties
       fof_halo_tag  fof_halo_count  fof_halo_center_x  fof_halo_center_y  fof_halo_center_y
67       1064385661          179320           9.096155           8.443262           8.443262
444        29474231          137205           7.329503          20.775621          20.775621
788         4355686          158537           1.482087          29.463406          29.463406
887        92311107          102866          23.851368           3.402524           3.402524
1827       74659128          163639          19.403948          42.066299          42.066299
4035       27665127          254338          14.967522         106.432266         106.432266
4204       71741045          179941          21.250399         109.308113         109.308113
5254      136863072          108073          28.494488         139.884003         139.884003
5655       65539843          114971          25.655994         130.445374         130.445374
6326      129613054          103411          28.034401         167.180466         167.180466
6854       41580266          427328          10.065739         169.862503         169.862503
7089       77273767          109854          16.503925         171.045990         171.045990
7179       96101922          115076          22.376276         177.669800         177.669800
7846       94108852          142758          22.379118         202.989487         202.989487
7900      129741035          100380          25.102852         202.647049         202.647049
7948       26104003          203554          17.401293         222.267456         222.267456
8138       28100928          154947          11.251875         214.378799         214.378799
8273     1052607872          132593           1.029562         223.211761         223.211761
8402      103664932          432487          22.558313         223.289932         223.289932
8994       92030897          123782          29.115959         195.421066         195.421066
9356       80711846          175084          17.017616         250.090363         250.090363
9669       40860052          211281           9.693516         242.660278         242.660278
9928      112157138          165717          18.414804         248.152283         248.152283
9956       46048952          101989           4.306992         229.599136         229.599136
10189     174026293          106377          31.919872         243.232086         243.232086
10232      48241308          104933          18.729994         255.495361         255.495361
10780     240134273          151771          62.166382           9.487476           9.487476
11285     262240613          247922          60.816624          29.504906          29.504906
12082     197290142          120276          48.280762          37.696136          37.696136
12343     226740497          105333          53.727615          45.847008          45.847008
...             ...             ...                ...                ...                ...
63696     873098878          116331         206.553986         172.509521         172.509521
64401     867967087          121514         204.109711         204.741364         204.741364
64450     854375425          152868         193.757675         209.962830         209.962830
64594     883812617          181692         204.244400         220.299194         220.299194
65017     767287898          714950         197.450500         198.124374         198.124374
65111     922535542          111558         212.269592         203.564392         203.564392
65226     879487711          101630         218.607391         194.167770         194.167770
65794     858678457          131922         192.453079         229.364471         229.364471
66101     860835077          134085         201.724655         247.037003         247.037003
66920     958416982          111037         234.945374           8.259804           8.259804
67813     984724044          102260         250.268494          24.296749          24.296749
68558    1042474448          153759         247.171768          39.281643          39.281643
68633    1062461888          102961         247.635605          52.100742          52.100742
68875     985854514          108560         242.975418          48.522430          48.522430
69547     961870155          257135         236.891983          75.454720          75.454720
69673    1025907100          117252         239.124100          95.634033          95.634033
69881     983903752          123204         228.289429          73.726151          73.726151
69889     951337509          168257         228.923401          71.282539          71.282539
70292     988100399          116765         236.774170          81.703712          81.703712
71585      10929978          296826         253.843918         112.698563         112.698563
72973    1060843596          124528         251.341553         183.759109         183.759109
73000     994834637          279954         245.508301         189.626221         189.626221
73448     931866349          110652         228.655930         176.559326         176.559326
73699     977913758          146859         226.381668         161.023788         161.023788
74330      12284140          106394         253.890564         193.882645         193.882645
74760    1058905635          117848         248.567535         219.546112         219.546112
75105     967777481          195857         230.623520         242.431183         242.431183
75886    1053665893          116475         251.871918         226.531570         226.531570
75898    1043201652          119765         248.154343         228.467789         228.467789
75942     998225522          243127         244.088470         239.691711         239.691711

[154 rows x 5 columns]
